turkish,english
görünüyorum,I look
duyabiliyor,can hear
ho,holy
elime,in my hand
kokusunu,smell
tuzağa,to the trap
washington,Washington
ambulans,ambulance
amaç,aim
uyar,warning
bond,bond
söylemiyorum,I'm not saying
benimkini,mine
önem,importance
oluşan,formed
versene,give me
gerekti,needed
dediler,they said
numarasını,number
uzaylı,alien
değeri,value
kaybetmiş,lost
uslu,well-behaved
adamdan,from the man
yaramıyor,does not work
pisliği,dirty
bıçağı,knife
vurdun,you hit
york'a,to York
rengi,color
yazılı,written
gösteren,showing
vurdum,I hit
lewis,lewis
insanlardan,from people
bilgiyi,information
kimliğini,identity
değişir,changes
yatıyor,lies
giderse,if it goes
yılında,in the year
ölüyorum,I'm dying
ton,ton
gazete,newspaper
anında,instantly
gitmiyorsun,you don't go
davranıyor,Acting
sanıyorsunuz,you think
porno,porn
nasil,How
görüş,opinion
vereceğiz,we will give
ihtiyar,old
cia,cia
konuşan,speaking
ağzından,from your mouth
deneyelim,Let's try
umuyordum,I was hoping
düzenli,organised
kumar,gambling
carlos,Carlos
ot,weed
lou,lou
görürsün,you see
seç,select
yerime,in my place
gary,Gary
birbirlerine,to each other
olayım,let me be
gitmesi,to go
söylemen,you say
anlam,meaning
sınır,border
eğlenceler,Entertainment
durumun,your situation
tutan,holding
soruşturma,investigation
pencereden,through the window
müdürü,manager
örneğin,for example
virüs,virus
üvey,step
ruhunu,your soul
geldiğimde,When I arrived
gibiler,people like
birisiyle,with someone
gerçekleri,facts
delil,proof
yapabileceğini,that you can do
hatırla,Remember
ayrılmak,To leave
davran,act
lider,leader
modern,modern
görmem,I don't see
kimler,who
ikisini,two of them
görmezden,ignoring
kafalı,-headed
yolla,send
kasabada,in the town
nedeniyle,because of
yaşıyoruz,we are living
çeker,pull -out
kent,city
babanla,with your father
odayı,the room
üstün,superior
geçmişi,past
duymadın,you did not hear
kayıtları,records
izledim,I watched
jüri,jury
kaçmaya,to escape
izliyor,is watching
yanılıyorsun,You're wrong
İşini,Your job
kum,Annual
çaresine,remedy
kadarını,as far as
otomatik,automatic
üstüme,on me
İnsanlara,To people
yılı,year
noktaya,to point
feda,sacrifice
earl,Earl
pazarlık,bargain
meydana,square
boku,shit
zordur,is difficult
greg,GREG
güzellik,beauty
yapamıyorum,I can not
şampiyon,champion
yalvarıyorum,I beg
yapabileceğimiz,we can do
noktada,at the point
yarayacak,will be useful
öldürün,Kill
mahkemede,in court
ödülü,prize
olumsuz,negative
içmeye,to drink
uyanık,awake
çalıştığı,Working
yanındaki,next
ziyarete,visit
yi,yi
herşeyin,everything
açıp,open and open
maggie,maggie
şarkıyı,song
gelmesi,arrival
bart,Bart
gelsene,come on
öte,beyond
söylemeyeceğim,I will not say
dinliyor,listening
vaktin,your time
ahmak,idiot
öldürüyor,killing
oyunun,your game
hop,hop
olmayacağım,I will not
elli,fifty
molly,molly
izleyin,watch
zekalı,witted
zamanla,in time
öldürmedim,I didn't kill
yaparlar,they do
kurtar,save
düşüyor,falling
öylesin,so
üniversiteye,university
kalmaya,to stay
servisi,service
oğlumun,my son
cennet,heaven
öncesi,pre-
gereksiz,unnecessary
kaçırdım,I missed it
karanlıkta,in the dark
ortalıkta,around
dile,language
kocan,stub
buffy,buffy
haberdar,informed
borç,debt
keser,cut
sesle,with voice
darbe,coup  
ailesinin,Your family
altındaki,under
mevcut,available
uyum,rapport
johnson,Johnson
masaya,on the table
hikâye,story
tuttu,hired
alırız,we get
kurmak,to create
otelde,in hotel
hukuk,law
çıkarsa,if it comes out
sabahın,in the morning
linda,Linda
uzaklaş,go away
karısını,his wife
dosya,file
tutmaya,to hold
soygun,robbery
hain,traitor
konsantre,concentrated
anladığım,I understand
bekliyorlar,they are waiting
ekselansları,His Excellency
söylemesi,to say
önden,from the front
geçelim,Let's pass
tarafına,on the side of
anlattım,I told
telafi,compensation
getiriyor,brings
edilemez,incredible
bulmam,I don't find
milyar,billion
söylerdi,He would say
almıştım,I bought it
bulamıyorum,I can not find
adamımız,Our man
kardeşimin,my sibling's
angela,Angela
öp,kiss
gelmeyecek,will not come
dinleme,listening
sınıfta,in the class
duvar,wall
giderek,increasingly
avcı,Hunter
duruyorsun,you stop
sesleri,sounds
bulabilirim,I can find
değiştirdi,changed
etmeyeceğim,I will not
savaşçı,fighter
isteyeceğim,I will want
yatın,YAT
carol,Carol
kış,winter
lise,high school
gideceğini,that you will go
sağlıyor,provides
meşgulüm,I'm busy
görevim,my duty
bahsediyor,Talking about
boşuna,in vain
çocuğunu,your child
içelim,let's drink
pas,rust
miktarda,quantity
garson,waiter
sabırsızlanıyorum,I can't wait
okumak,to read
boy,size
geçit,passage
york'ta,in York
yapardı,he would do
sıraya,in line
yetenek,talent
çalmak,to play
ok,arrow
çıkmadı,did not come out
dolusu,full of
etmedin,you didn't
İşim,Name
yandan,on the other hand
konuya,to the subject
olurlar,they are
zehir,poison
alındı,receipt
türden,kind of
merkezine,to the center
genetik,genetic
josh,josh
bağlantısı,connection
yoruldum,I am tired
işime,for my work
haberlerim,my news
planım,my plan
ihtimal,possibility 
yapmaktan,from doing
yemiş,eaten
bekledim,I waited
üstünü,top
hapis,prison
halkın,PEOPLE
kimmiş,who was
yaşındasın,you are old
elle,by hand
söyleyip,and saying
olacağına,that
yük,load
koydu,he put
gittiği,he went
vermeden,without giving
fıstık,peanut
ordusu,army
yapıyordun,you were doing
vermişti,gave it
kalem,pen
adres,address
ötesinde,beyond
dilemek,wish
todd,todd
yöne,directional
üzülme,Do not be sad
vali,governor
gidiyorlar,they are going
verirseniz,if you give
helikopter,helicopter
kovboy,cowboy
leonard,Leonard
gay,gay
olayları,events
çete,gang
çekim,pull
oksijen,oxygen
sakla,hide
veri,data
yapacaksınız,you will do
aranızda,among you
niyetim,My intention
icabına,for the purpose of
başardım,I succeeded
İndir,Download
bitirmek,finish
buradaydı,It was here
aldığın,you buy
jamie,Jamie
sürmez,unmistakable
buluşma,meeting
yerleri,locations
listesi,list
ned,ned
küçükken,when I was little
bitince,when finished
şirketin,company
bakacak,will look
belkide,maybe
zamanını,your time
düşünüyorlar,they think
cooper,cooper
kurabiye,cookie
beynini,your brain
okulun,your school
işlerin,Your work
tracy,tracy
yapılması,to be done
teklifi,proposal
yarbay,lieutenant colonel
justin,Justin
matthew,matthew
hırsızlık,theft
sınırı,limit
duymuş,heard
bitiyor,ends
yazan,writer
yavrum,my baby
görünmez,invisible
bulunduğu,found
sapık,pervert
köpekler,dogs
nerdeyse,almost
sorma,dont ask
kıçımı,my ass
politik,political
cinayeti,murder
sinirli,annoyed
ulaşmak,to reach
İsmi,Name
londra,London
oğlunun,Your son
alana,to the field
miller,miles
derdim,I would
midir,is it
sersem,giddy
düşünmüyor,does not think
korkmuyorum,I'm not afraid
silahın,Your weapon
bulmamız,we find
adlı,judicial
ederse,if he
hatası,error
dönüyorum,I'm going back
sürüyor,progress
betty,Betty
yıllarca,for years
İmkansız,Impossible
ikiye,in two
bilerek,on purpose
meşhur,famous
dostlar,friends
gezegen,planet
mecbur,forced
etmiyorsun,you don't
mmm,mmm
merkezinde,in the center
televizyonda,on TV
teker,wheel
hepinize,to all of you
wow,wow
hanımlar,ladies
koşun,run
işbirliği,partnership
sıkıldım,I am bored
göreve,to duty
üstünden,over
hatırlamıyor,does not remember
başlamış,started
hepinizin,all of you
aksine,on the contrary
gürültü,noisy
aa,AA
gidemezsin,You can't go
petrol,oil
oynamaya,playing
döndüğünü,that he returned
aktif,active
halkı,people
arkasından,behind
uçakta,on the plane
brown,brown
veriyoruz,we give
müdahale,intervention
koymak,to put
gelişme,development
çıkart,subtraction
davis,Davis
neyden,what
çıkacağız,we will go out
yaşadığı,lived
nancy,nancy
veriyorlar,they are giving
bırakacağım,I will quit
kaçış,escape
ülkede,in the country
almadım,I did not take
hali,state
açar,opens
duyamıyorum,I can not hear
ailemin,my family
getirecek,will bring
başkasının,someone else
kiliseye,to the church
kullanma,use
duman,smoke
bahis,bet
istemiyorsan,if you do not want
delirdin,You were crazy
hediyesi,gift
alamıyorum,I can't get
kulübü,club
me,me
edebilecek,it can be
şeylerle,with things
buysa,if that's
istediler,they wanted
ari,bee
ömür,lifetime
kötülük,evil
şansını,your chance
reklam,advert
biliyormusun,do you know
teknoloji,technology
başkaları,others
dil,language
hakkım,my right
hepinizi,all of you
arkadaşımı,my friend
gözlerin,Your eyes
etmenin,do not
jay,jay
çıkarmaya,to remove
yönünde,towards
vermedim,I didn't give
aklında,in mind
etmemiz,we
öfke,anger
ederdi,would have
tahta,wood
soruyorsun,you ask
sevmiyor,does not like
sydney,Sydney
İstediğim,What I want
gördüğü,what he sees
saçlı,-haired
yakaladı,caught
boyun,neck
gördüğümü,what I see
sesler,sounds
yatırım,investment
tanırım,I know
cadılar,witches
kol,arm
oysa,whereas
aykırı,against
geçirmiş,spent
roman,novel
kadınlara,To women
çeken,attractive
kurusu,dryness
yetmez,not enough
aaron,Aaron
tanımıyorsun,you don't know
vermiştim,I gave
kullanmayı,to use
çıkacağım,I will go out
sayfa,page
ada,island
babasını,his father
amma,amma
bildiğiniz,you know
mickey,mickey
boya,paint
birisine,to someone
bilimsel,scientific
kaçmış,escaped
sırrı,secret
şov,show
verdiniz,you gave it
maruz,exposed
şiir,poem
durmadan,non-stop
cole,cole
bittiğini,that it is over
dar,narrow
eger,if
işinde,at work
konuştu,spoke
bekleyeceğim,I will wait
sok,shock
kahverengi,brown
bulana,to the one who finds
etkisiz,ineffective
gösterin,show
işiniz,Your job
siktiğimin,Fucking
zorundaydım,I had to
neredeler,where are they
kapandı,closed
aklı,mentally
zehirli,toxic
emma,emma
burun,nose
toplantısı,meeting
hakkın,your right
mıdır,is it
dediğine,what you say
olmana,to what
misafir,guest
keith,keith
av,hunting
yem,bait
olumlu,positive
denize,sea
gençler,youth
yolumdan,from my way
iyiyiz,we are good
girmeye,to enter
istemediğini,you don't want
çektim,I pulled
seçeneğim,My option
delikanlı,lad
hazırla,prepare
düşünür,thinker
eğil,dirty
bahset,mention
sağladı,provided
durumunu,status
bensiz,without me
yeah,yeah
kalanı,the rest
temizlik,cleaning
haklısınız,you are right
başardı,SUCCESSFUL
bitirelim,Let's finish
sağlar,provides
başkalarının,others
çatlak,crack
olabildiğince,as much as possible
ilham,inspiration
çağırın,Call
allison,allison
sayısı,number
elmas,diamond
kabus,nightmare
gücün,your power
raymond,raymond
anlamını,its meaning
veronica,veronica
nehir,river
logan,logan
düşünsene,imagine
amerika'da,in America
götürür,it takes
eti,flesh
ağrıyor,it hurts
büyücü,Wizard
söylediklerini,what you say
okudun,you read
çekiyorum,I'm pulling
yarına,for tomorrow
içimde,inside me
ikimizin,two of us
dakikaya,per minute
çıktığını,that
İleri,Forward
dennis,Dennis
değii,not
şahsen,personally
söylememi,not to say
dana,calf
inkar,denial
gitsem,If I go
sinyali,signal
ilişkisi,relationship
terfi,promotion
espri,humor
özleyeceğim,I will miss
yemekten,from meal
altını,gold
fikrimi,my idea
sonny,sonny
fotoğrafı,photo
jacob,jacob
hoşlanmıyorum,I do not like
şifre,password
katilin,Your murderer
arıyorlar,they are looking for
popüler,popular
otele,Hotel
işareti,sign
söylüyorsunuz,you say
willie,Willie
yasadışı,illegal
edersiniz,you will
avukatı,lawyer
düzine,dozen
adet,piece
kasabaya,to town
bunlarla,with them
görebiliyor,can see
idam,execution
aah,Aah
birbirlerini,each other
aradın,You called
kalırsa,if it remains
elindeki,in your hand
anlatacak,will tell
davası,case
elliot,Elliot
kutlu,blessed
etki,effect
man,Man
yardımın,your help
yakıt,fuel
yaşına,to age
çevir,translate
anlaşmayı,agreement
çarşamba,Wednesday
evlenme,marriage
seth,seth
yazmış,written
geçtim,I passed
nasılsa,somehow
kendilerine,themselves
kızının,Your daughter
çalışıyorsunuz,you work
önünden,in front of
kaçık,fantastic
çoğunu,most
kalmayı,to stay
gelmiştim,I came
kimliği,identity
derse,class
anlıyorsun,you understand
çıkardım,I took it out
karşınızda,here
ibaret,consistently
saçını,your hair
gitmesini,to go
harita,map
yatmak,to lie down
jennifer,Jennifer
jordan,jordan
satmak,to sell
yapmıyor,does not do
versin,give it
olmanız,you have
amerika'nın,America
oturma,sitting
doğruca,straight
duyduk,we heard
kesip,cutting
borçlu,debtor
bugünlerde,Nowadays
amiral,admiral
birimiz,one of us
blok,block
aralar,inhabitants
yanından,by the side of
dakikalığına,for minutes
odama,my room
tanıştığıma,I met
amerika'ya,To America
kalkın,get up
süren,inhabitant
elleri,hands
ibne,fagot
orman,forest
stanley,Stanley
giren,insertion
İngiltere,England
ağrı,pain
kızımın,my daughter
gözler,eyes
çılgınlık,frenzy
dostun,your friend
sessizce,quietly
başımıza,to us
sesin,Your voice
ödemek,pay
kurallara,To the rules
kaçıyor,escaping
geliyordu,was coming
dogru,TRUE
kıç,ass
kimyasal,chemical
dağ,mountain
hakaret,insult
gösterecek,will show
İşleri,Work
öleceksin,you will die
kaçın,avoid
charlotte,charlotte
almaz,uninterrupted
aklımdan,from my mind
arkadaşlarını,your friends
seviyoruz,we love
getiririm,I bring it
nadir,rare
çalıştın,you worked
martha,martha
brad,Brad
arabamı,my car
oğlunuz,Your son
endişeleniyorum,i'm worried
düzen,order
değiştirdim,I change it
bekleme,wait
öldürdüler,they killed
geçiş,transition
steven,Steven
içecek,drink
kalmasını,to stay
şunun,this
hoşçakalın,goodbye
bİr,One
çocuklarım,my children
almalıyım,I should buy
deniyorum,I am trying
sophie,Sophie
abi,brother
arkadaşına,to your friend
kilit,lock
randevum,my appointment
miydiniz,Were you
eşyaları,items
walt,Walt
oturmak,to sit
lideri,leader
ticaret,trade
gidemem,I can not go
almalıyız,we should take
örneği,example
demin,just now
kanal,channel
sağla,to provide
vermiyorsun,you don't give
devreye,to the circuit
ellerinizi,Your hands
ye,eat
yiyelim,let's eat
resimleri,pictures
harikasın,You are great
belası,scourge
las,las
tanesini,grain
kasa,till
diyeyim,let me say
binayı,the building
ailesini,family
kendimden,from myself
hakkını,right
eşit,equal
teyze,auntie
ian,ian
brooke,Brooke
yasa,law
göreceğim,I will see
nerelerdeydin,where were you
minnettar,grateful
olayını,event
yolladı,sent
penny,penny
attın,you threw
eşek,donkey
dönem,period
sebebini,the reason
bire,I'd like to send a message by e-mail
monica,Monica
dönüyoruz,we are returning
haklıydı,was right
oturan,sitting
beth,beth
dansı,dance
hayran,fan
dönmem,I don't return
bense,me
ülkeyi,the country
kuvvetli,powerful
başlama,start
masanın,your table
düşündü,thought
bulduğumuz,we found
benle,with me
birşeyi,something
borçlusun,you owe
haksızlık,injustice
baya,quite
ölümünden,from death
yapmasını,to do
yapabileceğin,you can do
ortalığı,attempt
babanız,your father
amanda,amanda
shane,shane
aptallık,stupidity
yapmıştım,I have done
soruyor,asks
abd,USA
çıkarıp,take off
gitmişti,He was gone
liste,list
yayın,broadcasting
joseph,Joseph
kuzeye,north
gelemem,I can not come
çantayı,the bag
ötürü,due to
düşen,falling
kalbimi,my heart
konuşurum,I talk
hapisten,from prison
kıyafet,clothes
başarı,success
bulacak,will find
memuru,officer
aslan,lion
töreni,ceremony
yürüyüşe,walking
bulabilir,can find
oradaydım,I was there
biçim,format
sayede,thanks to
bırakacak,will leave
defolun,Remove
jin,Jin
şüphesiz,no doubt
edilecek,to be
başladılar,they started
sayıda,numerical
yüzümden,from my face
matematik,maths
açıldı,opened
dışarda,out
onlarda,in them
kafan,your head
taşıyor,carrying
ethan,Ethan
verirsin,you give
lafı,word
imza,signature
belirsiz,uncertain   
istedikleri,what they want
dükkanı,shop
emniyet,safety
kata,kata
oynayalım,let's play
yapmana,to do
saatin,clock
sağlayan,providing
sizleri,you are
öldüğünde,When he dies
diyeceksin,you will say
casey,Casey
kardeşler,siblings
sorunlar,problems
gözlerimi,my eyes
rüyalar,dreams
çıkarken,when leaving
adamlarım,my men
kaya,rock
istiyorsa,if he wants
döndüğünde,When you return
ettiğiniz,you are
sokaklarda,on the streets
zahmet,bother
üzereyim,I'm about to
şeyini,your thing
jonathan,Jonathan
alması,receiving
öleceğiz,we will die
bulabiliriz,we can find
yaşındayım,I am old
söylediniz,you said
hücre,cell
mösyö,monsieur
görevin,your duty
direkt,direct
işle,work
müsait,free
görevlisi,officer
kımılda,in the world
yemeye,to eat
kraliyet,royal
yapardın,you would do
yapabilecek,can do
çelik,steel
kızarmış,fried
bilmez,unknown
kalkıp,up and get up
ölümden,after death
dönme,rotation
annesini,his mother
biziz,we are
şekli,shape
gönderdim,I sent
doları,dollars
tadına,to taste
yüze,face -to -face
istediklerini,what they want
kenny,Kenny
kurulu,installed
sun,Sun
tetiği,trigger
dilini,language of
şeyde,in what
şehirdeki,in the city
öğretti,taught
elma,apple
telefonun,Your phone
haksız,unfair
olabilirsiniz,You can be
kolu,branch
yaptığınızı,what you do
oynamayı,playing
muydunuz,Were you
konuşur,speaks
rüşvet,bribe
ağlama,cry
konuşuyoruz,we are talking
uzmanı,professional
doktorun,Your doctor
tanıklık,testimony
şart,condition
diyebilirsin,You can say
hesabı,account
king,king
ktir,Ktir
icat,invention
sokağa,to the street
böylesine,such
etmeyecek,will not
çabucak,quickly
bölgesi,region
zorlu,tough
düşündük,we thought
mutsuz,unhappy
okuma,read
bekar,single
ajanı,agent
olmadım,I was not
geciktim,I am late
mutfakta,in the kitchen
arkadaşız,WE ARE FRIENDS
giriyorum,i enter
şeref,honor
oyna,play
aklımı,my mind
baktı,he looked
paylaşmak,to share
inanabiliyor,can believe
diğerlerini,others
durumunda,in the case of
buradalar,here
arkadaşımın,my friend's
çaldın,you stole
ek,additional
İşimi,My job
sent,syntheet
mulder,Mulder
mutfak,kitchen
bn,bn
beyni,brain
hedefi,target
elaine,elaine
şahit,witness
saldırdı,attacked
gözlerim,my eyes
anlamıyla,literally
eninde,width
yolcu,traveller
michelle,michelle
diyeceğimi,I will say
kutusu,box
birincisi,first
anlarım,I understand
ölmesini,to die
şeklinde,shaped
gözüm,My eye
açıklaması,explanation
deneyeceğim,I will try
yiyor,eating
pam,pam
transfer,transfer
han,inn
cesedini,his body
arasından,through
çıktığında,when it comes out
buluşalım,let's meet
sonradan,later
teksas,Texas
tess,tess
başkasını,someone else
amına,pussy
çocuklarını,their children
craig,Craig
ameliyatı,surgery
kızlara,To girls
olmamalı,should not be
telsiz,radio
açma,opening
aradığını,what you are looking for
çaba,effort
delisin,You are crazy
seçti,choosed
olmayacağını,that
İçine,Into
bulursun,you find
arkanda,behind you
ölmedi,it did not die
kaplan,Tiger
gül,rose
büyüleyici,fascinating
gri,Grey
çıkabilir,can be released
saygısızlık,disrespect
geçirdik,we spent
gelmeni,you come
budala,fool
bulacaksın,you will find
tanımak,to recognise
ölürsün,you die
tartışma,argument
lincoln,Lincoln
dünyadan,from the world
şeytanın,Satan
almanı,buying
meksika,Mexican
önemlidir,important
ellie,Ellie
sabırlı,patient
fincan,cup
arkadaşımla,with my friend
basınç,pressure
salla,shaking
aleti,instrument
dikkate,in mind
sinemaya,to the cinema
üzerimden,from me
kaynak,source
pencere,window
göründüğü,it appears
masada,on the table
yazmak,to write
devletler,states
silahlarınızı,Your weapons
kaybolmuş,lost
ip,rope
dizi,soap opera
sammy,sammy
çekmeye,to draw
hayali,imaginary
atmaya,to throw
evinin,Your house
sevgilisi,lover
vermeyin,do not give
alanında,in the field
alamam,I can't get
olanların,what happened
kuralı,rule
bilmiyordu,He didn't know
bakire,virgin
konuştuğunu,that you speak
kay,kay
harris,Harris
yaptığımızı,what we did
olmasından,from being
ulaşmaya,to reach
ediliyor,is
uyumak,to sleep
istemiş,wanted
kriz,crisis
düşündüğümü,what I think
işti,it was work
karımın,my wife
seçeneğimiz,Our option
malzeme,material
kaldığını,that you stay
renkli,colourful
kendimize,ourselves
işimize,To our work
bulduğunu,that you found
sizsiniz,you are
duruyordu,it was standing
bakım,care
sırt,back
kazası,accident
çoğunlukla,mostly
sör,sir
âşık,in love
defalarca,repeatedly
iğne,needle
şuan,now
kullanıyorsun,you use it
evvel,before
vücudu,her body
silahla,with a gun
keyfini,pleasure
oynuyorsun,you play
jess,jess
kontrolden,out of control
elimizdeki,Our Hand
alamazsın,you can't get
dediniz,you said
savaştan,from the war
duyarım,I hear
sandy,Sandy
tersine,backwards
jules,Jules
gözle,eye -catching
öldükten,after death
birlik,unity
koltuk,armchair
bağ,bond
çalışması,work
hazırlayın,Prepare
solucan,worm
gittiğinde,when you go
hakları,rights
white,white
geçtiğini,that
